Adj Strategy,n_pre,n_mid,p_rep_mult,rep_ratio_mult,p_value_p_rep,p_value_rep_ratio
ALL,1345,5306,1.0,1.2309025818425134,,
Business Angels,46,331,1.0,1.0,0.3343228694281666,1.0
Hybrid Debt-Equity,140,490,1.0,1.1598258132986263,0.163662994494723,0.0004508818580867175
Infrastructure,0,0,1.0,1.0,,
Other Private Debt,31,193,1.0,1.0,0.0010190745421809755,0.5741416043756422
Private Equity,309,1571,1.0,1.261907786263865,0.018333144472953977,5.940134723120022e-07
Special Structure/ FoF,25,42,1.0,1.0,,
TTA,63,239,1.0,1.1261952572111626,0.1787566046347404,0.05387842102888845
Venture Capital,730,2440,1.0,1.2730254130911443,0.8447587913162753,0.0006676826161409275
