Adj Strategy,Grade,life_phase,n_obs,n_rep_gate,n_rep_pos,n_draw_pos,rep_p_mult,rep_ratio_mult,draw_p_mult,draw_ratio_mult,omega_bump,nav_floor_ratio,p_value_rep_prob,p_value_rep_ratio,p_value_draw_prob,p_value_draw_ratio,p_value_omega
Business Angels,D,post_12p,48,27,5,0,1.0,1.0,1.0,1.0,0.0,0.7112196319319608,,,,,
Business Angels,D,post_5_8,3,3,0,0,1.0,1.0,1.0,1.0,0.0,0.675768256,,,,,
Business Angels,D,post_9_12,52,40,3,2,1.0,1.0,1.0,1.0,0.0,0.5560568009248902,,,,,
Hybrid Debt-Equity,A,far,334,274,103,178,1.0,0.9670098054484677,1.086111111111111,1.0,0.022535971361551593,0.0,0.7435727885439407,0.029580479791437596,0.0006708548262066572,0.5353319245809834,6.928854364548816e-05
Hybrid Debt-Equity,A,final,8,8,1,0,1.0,1.0,1.0,1.0,0.0,0.5239092138333333,0.12923822672649443,1.0,0.01847197744222817,1.0,0.012290086404572327
Hybrid Debt-Equity,A,late,24,24,12,1,1.0,1.0,1.0,1.0,0.0,0.5239092138333333,0.27567958685904825,0.04942389177905289,0.00028726901931985793,1.0,0.0020619028846196887
Hybrid Debt-Equity,A,mid,115,115,49,21,1.0,1.0,0.9299726775956284,0.9853315108237879,-0.015981179617986164,0.0,0.4615948368894536,0.1909023285909147,4.377557881296568e-06,0.00017195785981343845,8.724181059442487e-08
Hybrid Debt-Equity,A,post_0_4,4,4,0,0,1.0,1.0,1.0,1.0,0.0,0.5239092138333333,0.11215929998619201,1.0,0.09479527232559182,1.0,1.0
Hybrid Debt-Equity,A,post_12p,48,27,5,0,1.0,1.0,1.0,1.0,0.0,0.7112196319319608,,,,,
Hybrid Debt-Equity,A,post_5_8,7,1,0,0,1.0,1.0,1.0,1.0,0.0,0.1226258509675526,,,,,
Hybrid Debt-Equity,A,post_9_12,1,0,0,0,1.0,1.0,1.0,1.0,0.0,0.017895773504573623,,,,,
Hybrid Debt-Equity,B,far,754,620,284,357,1.0,0.9315432520286493,1.0982230462428484,1.0,0.02612805971644906,0.0,0.6569039199322311,0.013619256323643247,0.0007820973830954259,0.3575824433954573,7.390938218164739e-05
Hybrid Debt-Equity,B,final,8,4,2,0,1.0,1.0,1.0,1.0,0.0,0.384451044625,0.8298759724049807,1.0,0.022978099870444524,1.0,1.0
Hybrid Debt-Equity,B,late,32,31,10,2,1.0,1.0308420852395384,0.967643278750952,1.0,-0.006125840097049914,0.37846830436538464,0.17226120474209883,0.026611597484310655,0.00014782676229008196,1.0,0.0004356714246624775
Hybrid Debt-Equity,B,mid,222,220,96,45,1.0,1.0498260936120158,0.8946009571602953,0.9636475964924908,-0.027872484038310743,0.0,0.7873592323099268,0.014353231635173245,7.527279777264084e-08,8.056211126341483e-09,3.575061850701463e-12
Hybrid Debt-Equity,B,post_0_4,8,3,0,0,1.0,1.0,1.0,1.0,0.0,0.384451044625,0.12032194381923977,1.0,0.022978099870444524,1.0,1.0
Hybrid Debt-Equity,B,post_12p,48,27,5,0,1.0,1.0,1.0,1.0,0.0,0.7112196319319608,,,,,
Hybrid Debt-Equity,B,post_5_8,2,0,0,0,1.0,1.0,1.0,1.0,0.0,0.384451044625,1.0,1.0,0.25468943873801164,1.0,1.0
Hybrid Debt-Equity,B,post_9_12,1,0,0,0,1.0,1.0,1.0,1.0,0.0,0.017895773504573623,,,,,
Hybrid Debt-Equity,C,far,369,286,147,183,1.0,0.943342856658379,1.056051521877579,1.0,0.022012171703291627,0.0,0.8691392509201457,0.020205689438957262,0.026140950133281216,0.2026537774377606,8.33401085937861e-05
Hybrid Debt-Equity,C,final,1,1,0,0,1.0,1.0,1.0,1.0,0.0,0.21082219645329037,0.310350685818813,1.0,0.39399232042559484,1.0,1.0
Hybrid Debt-Equity,C,late,50,45,18,8,1.0,1.044773519724383,0.9635242290748899,0.9908695280147397,-0.010169850199941063,0.20231030343565454,0.16800962732425462,0.008334842883649997,0.0003093038180927987,1.293490650868401e-09,1.9287524699418303e-05
Hybrid Debt-Equity,C,mid,119,119,64,36,1.0,1.0,0.9635257630157277,0.9583188498614394,-0.015195645267757069,0.0,0.5595608363254052,0.34418219067285927,0.01679835323440715,7.270869938169533e-15,2.4229677086427876e-08
Hybrid Debt-Equity,C,post_0_4,22,12,0,0,1.0,1.0,1.0,1.0,0.0,0.243191043062685,,,,,
Hybrid Debt-Equity,C,post_12p,48,27,5,0,1.0,1.0,1.0,1.0,0.0,0.7112196319319608,,,,,
Hybrid Debt-Equity,C,post_5_8,7,1,0,0,1.0,1.0,1.0,1.0,0.0,0.1226258509675526,,,,,
Hybrid Debt-Equity,C,post_9_12,1,0,0,0,1.0,1.0,1.0,1.0,0.0,0.017895773504573623,,,,,
Hybrid Debt-Equity,D,far,5,5,3,0,1.0,1.0,1.0,1.0,0.0,0.0,0.4286620015690432,1.0,0.2634255242015029,1.0,1.0
Hybrid Debt-Equity,D,final,8,4,1,0,1.0,1.0,1.0,1.0,0.0,0.017895773504573623,0.5035039017284504,1.0,0.15863575709892963,1.0,1.0
Hybrid Debt-Equity,D,late,29,23,11,8,1.0,1.0,1.0,1.0,0.0,0.017895773504573623,0.6158969544201933,0.6182938136128492,0.40167936101672286,0.29747738811138874,0.6067705067001672
Hybrid Debt-Equity,D,mid,36,36,16,11,1.0,1.0,1.0,1.0,0.0,0.0,0.7995474111923107,0.6119450009635075,0.21040224106629601,0.43554169472864235,0.9189131695443575
Hybrid Debt-Equity,D,post_0_4,10,5,0,0,1.0,1.0,1.0,1.0,0.0,0.017895773504573623,0.06335313014705113,1.0,0.11580994985449289,1.0,1.0
Hybrid Debt-Equity,D,post_12p,48,27,5,0,1.0,1.0,1.0,1.0,0.0,0.7112196319319608,,,,,
Hybrid Debt-Equity,D,post_5_8,5,1,0,0,1.0,1.0,1.0,1.0,0.0,0.017895773504573623,0.3980971820628354,1.0,0.2634255242015029,1.0,1.0
Hybrid Debt-Equity,D,post_9_12,1,0,0,0,1.0,1.0,1.0,1.0,0.0,0.017895773504573623,1.0,1.0,0.6152085839786787,1.0,1.0
Infrastructure,A,far,17,7,0,5,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Infrastructure,A,final,260,239,37,11,1.0,1.0,0.9867920967195793,1.0,-0.0024333555714762603,0.5788636394620676,,,,,
Infrastructure,A,late,1158,1105,287,166,1.0522802379556917,1.0180152437885617,0.9208114486312808,0.9866078582858727,-0.017664166555946995,0.651186881283619,,,,,
Infrastructure,A,mid,5355,5306,1472,1624,1.1454005972881631,1.0128618130420006,0.8847510361601671,0.8975015819474678,-0.044107735203960476,0.0,,,,,
Infrastructure,A,post_0_4,194,172,22,4,0.9966857388047302,1.0,0.9944106322196001,1.0,-0.000675781940637236,0.509988175023503,,,,,
Infrastructure,A,post_12p,48,27,5,0,1.0,1.0,1.0,1.0,0.0,0.7112196319319608,,,,,
Infrastructure,A,post_5_8,98,85,6,1,1.0,1.0,1.0,1.0,0.0,0.5362648431280983,,,,,
Infrastructure,A,post_9_12,52,40,3,2,1.0,1.0,1.0,1.0,0.0,0.5560568009248902,,,,,
Infrastructure,B,far,123,83,10,57,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0
Infrastructure,B,final,260,239,37,11,1.0,1.0,0.9867920967195793,1.0,-0.0024333555714762603,0.5788636394620676,,,,,
