quarter_end,index_level,msci_ret_q,msci_ret_q_lag1
2021-09-30,385.2,0.022781583559025043,0.0582186007305423
2021-12-31,399.75,0.03777258566978192,0.022781583559025043
2022-03-31,356.96,-0.10704190118824275,0.03777258566978192
2022-06-30,297.36,-0.16696548632900032,-0.10704190118824275
2022-09-30,266.52,-0.10371267150928176,-0.16696548632900032
2022-12-31,297.32,0.11556355995797696,-0.10371267150928176
2023-03-31,314.56,0.05798466298937166,0.11556355995797696
2023-06-30,308.93,-0.017898016276703954,0.05798466298937166
2023-09-30,300.29,-0.027967500728320327,-0.017898016276703954
2023-12-31,326.29,0.086582969795864,-0.027967500728320327
2024-03-31,339.3,0.039872506052897716,0.086582969795864
2024-06-30,333.23,-0.017889773062186864,0.039872506052897716
2024-09-30,347.18,0.04186297752303214,-0.017889773062186864
2024-12-31,332.67,-0.04179388213606772,0.04186297752303214
2025-03-31,335.9,0.009709321549884242,-0.04179388213606772
2025-06-30,356.94,0.0626376897886276,0.009709321549884242
2025-09-30,360.0,0.008572869389813498,0.0626376897886276
2025-12-31,363.19,0.008861111111111208,0.008572869389813498
