metric,attenuation,n_points,x_mean,y_mean,corr
p_draw_mult,1.0,32,0.09804058083385472,0.09986657547090018,0.9922063420902083
p_rep_mult,1.0,32,0.2497033225779664,0.44295586104946283,0.7925152096700308
rep_ratio_scale,0.4782915465132712,32,0.13609316764375368,0.11208358437946934,0.8104427050124257
draw_ratio_scale,0.7364027445631958,32,-0.003225136211975368,-0.03546023833609668,0.46412521874526214
omega_bump,1.0,32,-0.0395394613405285,-0.06086802098916774,0.8080276405510354
rep_timing_shift_q,0.6217781882293678,32,0.25,0.25,0.49415184560176223
