Adj Strategy,n_funds,nav_end_mean,nav_end_median,nav_end_p90,rep_0_4q_mean,rep_4_8q_mean,rep_8_12q_mean
Venture Capital,442,26358139.554145478,19441851.54,55638917.39500001,50054.54679728506,13606.916063348417,7738.361990950226
Private Equity,352,19859185.760365058,15276877.030000001,48260184.623,27932.01465909091,4096.627642045455,2248.360740625
Hybrid Debt-Equity,68,19100393.126014706,13038976.190000001,48578555.15500001,0.0,0.0,0.0
Business Angels,51,2656666.347254902,1661587.27,6899162.79,57447.2231372549,0.0,0.0
TTA,37,15636229.848648649,11952156.0,31125926.399999995,57665.57989189189,0.0,0.0
Other Private Debt,28,15089390.906178573,11604811.760000002,28865022.279000007,0.0,0.0,0.0
Infrastructure,25,34819459.528400004,32380595.97,62385940.20000001,0.0,0.0,0.0
Special Structure/ FoF,6,17278269.118333332,16736217.125,32841908.54,593812.7766666667,0.0,0.0
