quarter_end,actual_draw,actual_rep,actual_nav,sim_draw_mean,sim_rep_mean,sim_nav_mean,sim_draw_p05,sim_draw_p95,sim_rep_p05,sim_rep_p95,sim_nav_p05,sim_nav_p95
2020-12-31,358149302.5749998,379753918.3672999,12020091194.031303,232184230.8375071,710545686.9385386,6993439462.588812,83291984.19076076,480017735.2493456,104218476.5379848,1491376141.128558,6601723405.035081,7819656582.2798395
2021-03-31,289610218.1189999,621703258.1256001,12904459753.871601,259121008.66033825,434030436.22252834,6945858284.538446,80507067.57529898,625066678.4082838,68442314.59075981,899589629.8024251,6729773796.828394,7292167482.930268
2021-06-30,330598550.47450006,660029351.9797999,14041943639.4417,242290408.8195092,417837512.2364338,6966493759.2681675,127074168.14365296,379067829.9256608,90983777.48489243,946644828.6317793,6291950238.684133,7490458821.486213
2021-09-30,316435227.4358,982704218.8742,14379391834.694086,288821699.22647035,253971453.49667636,7060429638.609561,121454239.21846762,568228828.2921109,117386436.6638898,453508216.24402344,6372069286.088818,7620153579.314756
2021-12-31,268151999.65469995,766504784.3957995,14936467074.849611,115173301.82598548,329322589.97028416,6990948785.923038,52844389.12166594,193891229.33409315,56491966.525028035,712071861.6672431,6339555500.517013,7643473996.923496
2022-03-31,207813241.4955999,822822093.3416002,14383615931.632698,153484760.5244762,84947830.60803366,6810964778.060106,72384253.24365331,309029045.305551,26825889.654671397,211532691.95197368,5943300882.661005,7592657187.274277
2022-06-30,230442559.47529998,477512816.3944999,13809503873.534796,92940220.39894006,440824151.37425536,6335222618.123928,26676335.182598203,139307222.43927726,112008501.86115143,889038726.6834848,5674397075.605155,7051115968.43594
2022-09-30,181058178.5801,607962605.0822,13330544470.0104,148732217.2373646,302910622.8202292,6051870213.363489,98647510.46077377,188280887.16863096,118134638.27062236,561713838.1685755,5257717718.679275,6902558218.977847
2022-12-31,170346550.56290016,479743852.69110024,12823112295.428297,83437539.96124233,464537718.4122216,5911813674.486294,40868970.85683961,131786297.625416,195706868.04438636,842420065.4613411,5270996023.984227,6757328378.515329
2023-03-31,112463245.04819992,377065869.07879984,12491540120.348593,118269535.46145265,375822709.10530823,5755703005.652485,88910323.1570296,185921020.45796078,64602539.19029604,894492535.7773346,5357764993.16437,6108092776.314852
2023-06-30,138663096.92509994,229127754.12270007,12590181041.980497,86783818.73182213,251153894.06924582,5583071638.3352785,48909185.96545243,126745257.23734401,51489448.44965217,496566992.40292835,5301982018.253344,5907770118.374566
2023-09-30,117852423.1545999,357261766.1109001,12359351901.0387,96600607.59993534,510582739.04436713,5219333890.323425,57138201.57813454,134650437.88747534,260052152.91781035,1081824110.9037743,4878093539.6774235,5665226078.957774
2023-12-31,123874890.20340006,376438257.2669002,12234766683.785896,55619372.06043415,482467143.3591547,4877991488.55723,26945152.78142429,100970513.00134154,66792633.96961194,1049160226.7880464,4713215669.159142,5027168950.754303
2024-03-31,58533824.33159998,298334324.97700006,12203743608.133593,62811197.46666928,702560684.9924849,4179531122.139409,20581854.547230143,93580584.62579596,178270940.42239326,1588489478.5057209,3379482009.0066214,4580209883.997703
2024-06-30,66873294.8487,482236200.4127999,12019439233.405392,54050717.8676122,428938005.54223424,3720567622.6289277,23837612.264037166,115203578.99799734,174084777.87886822,871181140.6859751,2936516019.6288714,4243278667.3206725
2024-09-30,68421631.12879999,464543072.9968001,11630071157.614693,80020969.8157483,330335605.47279346,3516146791.39505,53295622.57457238,99406686.44454025,178886633.13417146,525915076.80313367,2781500948.079564,4194055937.288273
2024-12-31,69922581.2637,588884149.7088,11396036715.323397,78897297.92273866,185864217.50933534,3429694727.5198703,23566359.592914432,129156294.21570185,51958683.922562055,425170734.1553661,2859287023.574244,4049252547.568904
2025-03-31,45367120.6475,356241870.48209995,10964042949.854696,72917771.15505335,422431931.7263135,3118069068.977679,50216263.83205413,97086981.86931376,249008830.76477465,685206078.7611322,2550569930.828753,3979587506.3369765
2025-06-30,38228629.6841,297947413.90500003,10580567084.8513,24323139.25143008,589067382.5421011,2493018724.9430017,10105379.960794974,53390166.73316724,141450467.5699029,1229682198.304318,1974296131.2898397,2847372153.630695
2025-09-30,36909273.97890001,517213836.60980004,10100945175.670399,51294806.560273476,289358003.6659322,2152891036.1313386,34593617.515220515,66494745.93279356,114268675.27657348,484351440.5365794,1626932793.6937973,2628503755.510902
