quarter_end,actual_draw,actual_rep,actual_nav,sim_draw_mean,sim_rep_mean,sim_nav_mean,sim_draw_p05,sim_draw_p95,sim_rep_p05,sim_rep_p95,sim_nav_p05,sim_nav_p95
2018-12-31,648303198.2705003,252666713.3743999,7692750400.188802,779871175.1022265,241592923.44701797,7337260642.01232,498614316.0639791,903396265.846546,25354202.039632455,552886284.8568934,7025981512.989199,7572595965.00297
2019-03-31,510590480.9260998,175580231.83100015,8388322948.677899,520820942.31959724,590603866.5471194,7196994880.069201,219516484.7587819,791357969.9618261,203517203.3269156,1123834658.8298998,6572827215.363816,7785234784.326435
2019-06-30,571956181.9429998,291642871.7652001,9010380109.383802,834727960.8619288,258123880.21325213,7734393960.86701,500729334.8922712,1563523264.7318652,33929628.079738244,504900700.7908223,6808040354.911757,8408465421.576567
2019-09-30,554576983.8236003,309068557.79179996,9506104484.7262,493366150.36153936,258028683.4011237,8026445791.877861,220304567.1272893,800583987.568153,46541682.358650185,542210111.3033596,7109592560.377545,8867978878.11527
2019-12-31,594524507.7241,257438057.05319998,10322000433.870203,250675325.6967728,127461830.39620972,8165376503.907598,107301947.55465555,407951153.7929204,9803126.906735415,270025392.0873455,7255959192.807577,8942960900.211763
2020-03-31,462017537.5347,309687214.2122,9944780475.875692,360637081.69503427,272990146.23425657,8058425948.399501,112509706.38446319,752262786.39349,45710172.794354096,798774091.9979912,7263592294.538521,8886950900.605137
2020-06-30,378185873.6019999,160680561.59779993,10674556135.573395,380987201.7988725,418265613.0598116,8288827498.840324,269112177.25948215,609699068.5227203,80130587.17086534,666393883.8498205,7807001829.357647,8820369476.391005
2020-09-30,348966908.10980004,399667177.81560004,11046480129.9364,363745611.9580905,402920430.6054286,8229410677.700424,116393576.04996625,623622767.2495625,86765785.16792147,877124905.7375422,7346546545.123385,8850772219.93909
2020-12-31,434071418.16639966,383569872.1120999,12490392480.956306,215651400.83163205,821293647.4544343,7874059276.409628,135692815.35625842,351560299.64165443,254211750.80133748,1202449226.1540327,6607677191.983273,8689087683.357649
2021-03-31,343858590.6113998,628774066.7756002,13457856878.880003,423455810.0794801,487867635.6166294,7855497748.504865,238630044.36377123,680068342.6627403,96049394.50961803,1166683389.1767755,5906834957.647612,8833039817.76039
2021-06-30,402256242.15169996,669464832.2946998,14724704169.462204,368155220.82919747,134349791.43088254,8158618348.6057005,219432399.46725732,628553039.4494759,50424112.876534656,230594080.77860808,6154637236.68243,9396278305.663029
2021-09-30,377718921.2827001,998840328.8574998,15208739890.192188,211733918.17278928,181348478.90018016,8225622512.535254,73390533.80691576,428642664.3583368,22423423.36472727,347189329.0875268,6153119400.537234,9564005527.093655
2021-12-31,359302150.93630004,787181983.8111995,15957444473.351812,294213961.7896253,275537477.05688167,8060959447.12279,190322528.31280032,550472167.9947,77327066.62627654,561167026.6210675,6060896337.375543,9716804901.504282
2022-03-31,249582737.32709998,847784202.9435003,15424075852.748901,203832850.2316226,188328795.3881363,7946413513.921204,117682468.01187555,352620101.7816631,47047265.904713675,395853612.1614246,6112640302.444488,9636835444.880116
2022-06-30,282076057.76350003,501163604.52159995,14884895934.316195,87369900.48047172,251172422.17991066,7737309593.657977,48105265.5640224,148918663.63753253,30298449.776223566,499435671.80743027,6072624413.678642,9347571420.472843
