quarter_end,actual_draw,actual_rep,actual_nav,sim_draw_mean,sim_rep_mean,sim_nav_mean,sim_draw_p05,sim_draw_p95,sim_rep_p05,sim_rep_p95,sim_nav_p05,sim_nav_p95
2022-09-30,211799838.7991999,623241194.6322002,14407553274.500002,238577943.47052926,159457302.6616883,7645601352.764673,83760126.47963667,482609510.86909896,34095039.76739444,338496506.7184821,6320004338.583638,9148401287.058018
2022-12-31,228147016.80310014,563102603.4911003,13889807093.562298,198660082.0732756,741545743.0198771,7313129871.226718,92679429.21721254,335920395.5381148,241966715.93118486,1536866578.6247094,5576368152.695463,9074431892.131948
2023-03-31,153281969.69010004,382602938.5488999,13586426841.266396,117433912.87503488,329387889.44231665,7176333066.418249,27056635.43515213,233094892.91092405,208404940.3431945,473755184.95300007,5596630331.723688,8881817921.692154
2023-06-30,162929192.56129998,242142903.7427001,13714452010.914297,175499376.9329133,264175341.22163072,7119377567.9622555,71233617.07081035,252830362.01257253,73099688.55387266,515936964.08373624,5672092101.133568,8673732001.641966
2023-09-30,142197414.7693,373809308.20780003,13486906543.766397,84351593.96677108,274808273.9551389,6854957606.373934,50265338.201162495,145169341.66354337,163928351.8429613,358770052.5466219,5425676300.864143,8363116866.927813
2023-12-31,162232386.42020005,410622157.84690017,13408342957.254597,103237572.46986492,346837157.0688853,6572714552.243136,36220680.25852439,158826523.044902,103636629.20170084,621782258.860298,5026577961.168046,8219589805.3584795
2024-03-31,85387493.45249999,324931532.5316002,13418808618.91249,74462560.24718831,449952234.96029806,6034165950.7794485,57228079.512044415,86559892.3687022,113738864.26226944,1081412127.8546808,4533626258.1474695,7870596974.463976
2024-06-30,78413427.36609998,522539391.3664999,13219441563.218292,52435245.25719518,624163908.9704083,5552806437.869094,20333256.040158875,85999877.08124745,75167433.29497108,1408967414.1929653,4465641303.438895,6728566542.626045
2024-09-30,75758070.3109,491973261.0041,12812839560.634386,81812983.26364481,457565461.14083356,5129595071.109613,60636249.81771529,96978702.39179729,111008148.93806185,1306524155.6670861,4235154266.663527,6466346014.980458
2024-12-31,90707739.98399998,621141479.7288,12600220858.27199,56090114.27940293,520552993.8076166,4588097245.503802,24483126.173703685,99647051.95674665,182672901.85970983,913723945.4762577,3766914843.5204678,5958492515.992566
2025-03-31,63396123.998500004,398815223.9520999,12128142059.127495,91746259.45171404,476436317.8315552,4067017151.9536223,20270450.846421383,174249161.72416148,139675892.03983563,741175791.3078855,3344831033.9451222,5666391143.775526
2025-06-30,48626402.07350001,308953728.24500006,11742510937.761301,46505052.257482864,808156358.2974563,3314718947.1327143,19857252.153520968,85796156.1072288,262160702.1219419,1481619180.0464077,2501355250.9628835,4441323960.67829
2025-09-30,52797656.4748,554048335.0698001,11241942912.616299,64539285.36882051,447208473.9243544,2934785021.3505325,25817991.216144003,126878271.21722996,146507775.54099718,1022707698.4291196,2193467780.9402733,4059528416.727219
