scenario,strategy,grade,age_bucket,n_funds,draw_rmse,draw_mae,draw_bias,draw_cov_90,rep_rmse,rep_mae,rep_bias,rep_cov_90,nav_rmse,nav_mae,nav_bias,nav_cov_90
conditional,Business Angels,A,0-2y,5,544669.5606734165,378039.61032045755,192452.72585072977,0.6428571428571429,609438.301174791,421344.793914753,160336.898995891,0.6071428571428571,2363521.6599763413,1981839.563746165,779447.6034430364,0.6785714285714286
conditional,Business Angels,A,2-4y,2,704333.19490274,503082.06169644406,110576.82054288765,0.7142857142857143,1059644.1846060825,369791.91789220116,-59214.39984697843,0.9285714285714286,7877961.75067999,6435757.043688758,-5051135.489803995,0.35714285714285715
conditional,Business Angels,A,4-6y,3,350707.6859073984,248070.87947961106,-79592.67469995563,0.8214285714285714,872950.7753467651,574975.5129107205,232269.76169210844,0.75,3805286.3319446053,3351859.787752316,-3273939.3177677095,0.5
conditional,Business Angels,A,6-8y,1,401943.22450796585,262710.5757114626,146964.9942692197,0.8214285714285714,1151058.5693986767,556564.8367533084,315870.680324737,0.8928571428571429,6682569.642487461,5317916.4934885185,1631514.1024374105,0.7857142857142857
conditional,Business Angels,A,nan,1,158580.7099021853,107065.2379705238,-25062.810565379707,0.8214285714285714,61474.27549391873,25036.068553066096,16016.676410208953,0.9642857142857143,3460886.8271602043,2692543.77655251,-2657353.2912730286,0.32142857142857145
conditional,Business Angels,B,0-2y,8,553440.3578733782,407311.9687899049,79851.17812842566,0.7142857142857143,973468.2520354196,473831.5293565321,188512.7589479895,0.6785714285714286,7545206.245568638,6136974.0787172485,-5984437.997951421,0.2857142857142857
conditional,Business Angels,B,2-4y,6,1076247.8844040127,731322.7343916923,434611.34544284473,0.6785714285714286,1175970.6505352177,721408.0589534836,629088.9010712308,0.8214285714285714,6062982.9134787,4905314.034015775,-3011337.8413734296,0.7857142857142857
conditional,Business Angels,B,4-6y,1,5629.656776307174,3117.10629395026,3117.10629395026,0.9285714285714286,3517.9612334887106,1398.373258293357,1398.373258293357,1.0,403705.19330327073,370696.9455489813,-370696.9455489813,0.0
conditional,Business Angels,B,6-8y,1,45541.213259738775,22661.30377575749,20194.499631770934,0.75,41979.111220077815,12059.358305948796,6822.126877377365,0.9642857142857143,270571.2258062132,206649.01211552584,174119.67711255894,0.7142857142857143
conditional,Business Angels,B,nan,1,35756.67891229093,15066.3373930016,-1428.5791605355855,0.9285714285714286,3144.6465304423687,619.4205134658926,619.4205134658926,1.0,417859.5111793302,310519.5891441003,-269567.1606531126,0.42857142857142855
conditional,Business Angels,C,0-2y,8,479039.97231155384,326799.7437616171,195712.6732149694,0.5714285714285714,473498.66901242564,256055.92328182113,186087.3521170612,0.75,2792149.269051241,2222359.47534226,1668590.9162845088,0.75
conditional,Business Angels,C,2-4y,1,42532.738527389876,24097.92263913157,-435.1790937371191,0.8571428571428571,4137.997187668097,1205.404127583677,1205.404127583677,1.0,57846.06076288923,49591.254052524164,-13854.256251605999,0.35714285714285715
conditional,Business Angels,C,4-6y,1,108607.44528186697,61786.460627895416,58434.51832323909,0.9285714285714286,134011.2829117389,73969.02167034228,66090.24031137321,0.9285714285714286,440671.5160996131,340072.898263975,265484.7632438106,0.8571428571428571
conditional,Business Angels,C,6-8y,1,38003.85094667443,22512.732916579997,10935.98885616784,0.8214285714285714,543738.7104834461,110343.31445955338,-94935.89919528655,0.9642857142857143,1236286.6330806674,692570.3186967444,-548006.421546038,0.4642857142857143
conditional,Hybrid Debt-Equity,A,0-2y,1,899089.1540532183,570760.801741762,-660.4775066465047,0.8214285714285714,4219881.021713052,2590034.866703549,-1846746.6426420717,0.6428571428571429,16589136.798303567,13533691.782283995,-12694751.547215896,0.2857142857142857
conditional,Hybrid Debt-Equity,A,2-4y,5,5565314.223889788,3104696.464391818,-1896721.2842366162,0.6071428571428571,14173362.60603205,7870122.404597862,-4566407.667831884,0.6071428571428571,56890161.79389216,49530964.737210765,-49530964.737210765,0.2857142857142857
conditional,Hybrid Debt-Equity,A,nan,1,4235019.882989358,2842382.833414863,-2557729.545774638,0.39285714285714285,3301441.84971623,1901588.2318100117,-1266441.8579369248,0.42857142857142855,36617387.26988466,31974257.541565243,-31680652.478948325,0.14285714285714285
conditional,Hybrid Debt-Equity,B,0-2y,10,10134213.668153843,7219401.548510932,-2840154.580559486,0.42857142857142855,15067066.676387971,11525464.608384972,-4601110.867838854,0.7142857142857143,155374193.0225742,146940835.73312765,-146940835.73312765,0.07142857142857142
conditional,Hybrid Debt-Equity,B,2-4y,6,3014102.1765293432,1729852.2526702255,-618254.869409671,0.5357142857142857,5058013.6586082615,3165373.281454842,-1705703.5385605744,0.5714285714285714,45183771.28097854,41447706.20592623,-41447706.20592623,0.10714285714285714
conditional,Hybrid Debt-Equity,B,4-6y,5,2041276.4818606046,1248608.7490866415,357340.36689818784,0.6785714285714286,8198233.842884336,5749344.923673287,-3118912.7542980425,0.5,22619677.51492134,18801400.396794662,-17402431.59105081,0.35714285714285715
conditional,Hybrid Debt-Equity,B,6-8y,1,98350.0537942235,66584.64850779613,49382.42020551221,0.8928571428571429,2033808.7612971682,966358.3160138717,-504305.46027677524,0.7142857142857143,3844432.2779900054,3357704.6566470666,3357704.6566470666,0.8571428571428571
conditional,Hybrid Debt-Equity,C,0-2y,3,2086957.885012374,981727.2711901244,3258.077569436771,0.5,5255855.1554119,2631752.0272060833,-1235467.4064808793,0.5,6447267.784017142,5022411.297276809,3073365.846199144,0.9285714285714286
conditional,Hybrid Debt-Equity,C,2-4y,6,3168955.266039528,2278510.2870912,40983.449427601285,0.6428571428571429,6577342.429394708,4896319.202183248,-1908390.4205756723,0.6071428571428571,28028350.921610538,22519577.358569343,-22321956.701653026,0.42857142857142855
conditional,Hybrid Debt-Equity,C,4-6y,2,712935.2030751818,448054.7741634127,270038.91769837437,0.7142857142857143,7132410.114730534,3315102.873896117,-1273290.2679018232,0.5714285714285714,10581521.674523469,8895523.32618285,7229388.994763139,0.8571428571428571
conditional,Hybrid Debt-Equity,D,10-15y,1,3723.0512651219196,2460.5430469246066,2460.5430469246066,0.8928571428571429,52898.62439677274,19537.049381164226,16324.65009544994,0.9642857142857143,610384.0262196884,588899.0414953909,588899.0414953909,0.0
conditional,Other Private Debt,A,0-2y,1,1368390.4835205283,781811.9416230889,315915.05277609406,0.8571428571428571,5242593.751324328,3297832.7349464274,-715486.1695879236,0.39285714285714285,19478907.65636789,17901060.609645046,-12739325.396150947,0.42857142857142855
conditional,Other Private Debt,A,nan,1,9173040.109943088,4928841.746552601,-2801345.5036398927,0.7142857142857143,3555972.5972383977,2573421.5246733064,-2051707.1816340205,0.5,42633031.16588583,37942996.158050336,-35241568.74299956,0.32142857142857145
conditional,Other Private Debt,B,0-2y,4,4965296.941555401,3337808.7227922,480110.7526831759,0.5714285714285714,3670908.5460250787,2980182.6306320424,-485408.4495535832,0.6785714285714286,45642627.50682621,43207742.11839132,-43207742.11839132,0.03571428571428571
conditional,Other Private Debt,B,2-4y,2,440798.71545939293,244882.01335435375,241772.97652675683,0.5714285714285714,3576107.7468060926,1690023.4586534253,-1098031.870591645,0.4642857142857143,4646306.281481912,4129375.791820212,3139718.053183108,0.25
conditional,Other Private Debt,B,4-6y,1,376755.8587694586,237142.36597833948,66601.40253161595,0.9285714285714286,2158735.772119684,1553506.6259149904,-363741.643598298,0.5,6739019.168380487,5138408.062273658,4686452.072763209,0.8214285714285714
conditional,Other Private Debt,C,0-2y,3,4641023.089219774,2651277.5232344796,-1255349.0584887865,0.6785714285714286,4838770.542307874,3291281.492744853,-2906950.855017309,0.4642857142857143,39941623.31306573,36065969.34616824,-36065969.34616824,0.14285714285714285
conditional,Other Private Debt,C,2-4y,2,2252060.716114694,1762327.1724272815,1558881.1844212248,0.7142857142857143,2956174.5008848426,2029028.6169586673,-1057540.9589765198,0.5,29479260.56713181,21585841.093976624,15664240.471029114,0.4642857142857143
conditional,Other Private Debt,C,4-6y,1,711304.2174392587,286529.95898057177,-124041.28434884723,0.8928571428571429,2010252.037763612,923673.8819551623,-416029.5620149667,0.7142857142857143,3056262.5813067616,2420615.720036357,-998295.3628165748,0.7857142857142857
conditional,Other Private Debt,C,nan,2,3797341.684684024,2299187.0021114214,-1141947.577825819,0.8214285714285714,3000704.00229438,1619507.4211447511,-801794.7308036544,0.6785714285714286,38176926.38210403,35152572.625734024,-34791051.48501172,0.14285714285714285
